SRA,Sample,stage,sex,time
SRR023595,virgin_female_1d,adult,female,25
SRR023548,adult_female_30d,adult,female,27
SRR023547,adult_female_5d,adult,female,26
SRR023543,adult_male_1d,adult,male,25
SRR023601,adult_male_30d,adult,male,27
SRR023550,adult_male_5d,adult,male,26
SRR023199,embryo_0_2,egg,N/A,1
SRR023604,embryo_10_12,egg,N/A,6
SRR023602,embryo_12_14,egg,N/A,7
SRR023540,embryo_14_16,egg,N/A,8
SRR023600,embryo_16_18,egg,N/A,9
SRR023503,embryo_18_20,egg,N/A,10
SRR023502,embryo_2_4,egg,N/A,2
SRR023506,embryo_20_22,egg,N/A,11
SRR023538,embryo_22_24,egg,N/A,12
SRR023539,embryo_4_6,egg,N/A,3
SRR023504,embryo_6_8,egg,N/A,4
SRR023549,embryo_8_10,egg,N/A,5
SRR023597,larva_L1,larva,N/A,13
SRR023542,larva_L2,larva,N/A,14
SRR023507,larva_L3_12hr,larva,N/A,18
SRR023546,larva_L3_1.2,larva,N/A,15
SRR023505,larva_L3_3.6,larva,N/A,16
SRR023729,larva_L3_7.9,larva,N/A,17
SRR023544,WPP_12hr,pupa,N/A,20
SRR023541,WPP_24hr,pupa,N/A,21
SRR023667,PP_2d,pupa,N/A,22
SRR023738,PP_3d,pupa,N/A,23
SRR023609,PP_4d,pupa,N/A,24
SRR023695,WPP_0hr,pupa,N/A,19